Date,Symbol
2012-03-20,BAC
2012-03-21,BAC
2012-03-22,BAC
2012-03-23,BAC
2012-03-26,BAC
2012-03-27,BAC
2012-03-28,BAC
2012-04-02,BAC
2012-05-11,BAC
2012-05-14,BAC
2012-05-15,BAC
2012-05-16,BAC
2012-05-18,BAC
2012-05-21,BAC
2012-05-22,BAC
2012-05-23,BAC
2012-05-24,BAC
2012-05-30,BAC
2012-06-01,BAC
2012-06-04,BAC
2012-06-08,BAC
2012-06-12,BAC
2012-06-18,BAC
2012-07-13,BAC
2012-07-16,BAC
2012-10-22,BAC
2012-11-14,BAC
2012-11-15,BAC
2012-12-21,BAC
2012-12-24,BAC
2012-12-27,BAC
2012-12-28,BAC
2013-01-09,BAC
2013-01-10,BAC
2013-01-11,BAC
2013-01-14,BAC
2013-01-15,BAC
2013-01-16,BAC
2013-01-17,BAC
2013-01-22,BAC
2013-01-23,BAC
2013-01-24,BAC
2013-01-25,BAC
2013-01-28,BAC
2013-01-29,BAC
2013-01-30,BAC
2013-01-31,BAC
2013-02-01,BAC
2013-02-04,BAC
2013-02-05,BAC
2013-02-06,BAC
2013-02-07,BAC
2013-02-08,BAC
2013-02-11,BAC
2013-02-12,BAC
2013-02-13,BAC
2013-02-14,BAC
2013-02-15,BAC
2013-02-19,BAC
2013-02-20,BAC
2013-02-21,BAC
2013-02-22,BAC
2013-02-26,BAC
2013-03-01,BAC
2013-04-18,BAC
2013-06-24,BAC
2014-04-07,BAC
2014-04-10,BAC
2014-04-11,BAC
2014-11-13,BAC
2014-12-15,BAC
2014-12-16,BAC
2015-01-12,BAC
2015-01-13,BAC
2015-01-14,BAC
2015-01-15,BAC
2015-01-16,BAC
2015-01-20,BAC
2015-01-22,BAC
2015-01-23,BAC
2015-01-26,BAC
2015-01-27,BAC
2015-02-03,BAC
2015-02-05,BAC
2015-02-09,BAC
2015-02-10,BAC
2015-02-11,BAC
2015-02-18,BAC
2015-08-19,BAC
2015-09-04,BAC
2016-06-29,BAC
2016-06-30,BAC
2016-07-01,BAC
2016-07-07,BAC
2016-07-08,BAC
2016-07-12,BAC
2016-07-13,BAC
2016-07-14,BAC
2016-10-05,BAC
2016-10-06,BAC
2016-10-07,BAC
2016-10-10,BAC
2016-12-16,BAC
2016-12-19,BAC
2016-12-20,BAC
2016-12-21,BAC
2016-12-22,BAC
2016-12-23,BAC
2016-12-27,BAC
2016-12-28,BAC
2016-12-29,BAC
2016-12-30,BAC
2017-01-03,BAC
2017-01-04,BAC
2017-01-05,BAC
2017-01-06,BAC
2017-01-09,BAC
2017-01-10,BAC
2017-01-12,BAC
2017-01-13,BAC
2017-01-17,BAC
2017-01-18,BAC
2017-01-19,BAC
2017-01-20,BAC
2017-02-02,BAC
2017-03-13,BAC
2017-03-14,BAC
2017-03-15,BAC
2017-04-13,BAC
2017-04-17,BAC
2017-04-18,BAC
2017-04-19,BAC
2017-04-21,BAC
2017-05-31,BAC
2017-09-07,BAC
2017-09-08,BAC
2017-12-22,BAC
2017-12-26,BAC
2017-12-27,BAC
2017-12-28,BAC
2018-01-02,BAC
2018-01-03,BAC
2018-01-05,BAC
2018-01-08,BAC
2018-01-09,BAC
2018-01-10,BAC
2018-01-11,BAC
2018-01-16,BAC
2018-01-17,BAC
2018-01-18,BAC
2018-01-23,BAC
2018-01-24,BAC
2018-01-25,BAC
2018-01-26,BAC
2018-03-21,BAC
2018-11-20,BAC
2018-11-21,BAC
2019-05-30,BAC
2019-05-31,BAC
2019-06-03,BAC
2019-06-13,BAC
2010-09-03,BLL
2010-09-07,BLL
2010-09-08,BLL
2011-03-10,BLL
2011-03-11,BLL
2011-08-01,BLL
2011-08-04,BLL
2011-08-05,BLL
2011-08-08,BLL
2011-08-09,BLL
2011-08-10,BLL
2011-08-11,BLL
2011-08-12,BLL
2011-08-15,BLL
2011-08-16,BLL
2011-08-17,BLL
2011-08-18,BLL
2011-08-19,BLL
2011-08-22,BLL
2011-08-24,BLL
2011-08-25,BLL
2011-08-26,BLL
2011-08-29,BLL
2011-08-31,BLL
2011-09-01,BLL
2011-09-07,BLL
2012-02-29,BLL
2012-03-01,BLL
2012-03-06,BLL
2012-03-07,BLL
2012-03-08,BLL
2012-03-14,BLL
2012-03-15,BLL
2012-03-16,BLL
2012-03-19,BLL
2012-03-20,BLL
2012-03-21,BLL
2012-03-26,BLL
2012-03-28,BLL
2012-03-29,BLL
2012-03-30,BLL
2012-04-02,BLL
2012-04-03,BLL
2012-04-04,BLL
2012-04-05,BLL
2012-04-09,BLL
2012-04-10,BLL
2012-04-11,BLL
2012-04-13,BLL
2012-04-17,BLL
2012-04-18,BLL
2012-04-19,BLL
2012-04-20,BLL
2012-04-23,BLL
2012-04-24,BLL
2012-04-25,BLL
2012-04-26,BLL
2012-04-27,BLL
2012-04-30,BLL
2012-05-01,BLL
2012-05-15,BLL
2012-05-16,BLL
2012-05-17,BLL
2012-05-18,BLL
2012-05-21,BLL
2012-05-22,BLL
2012-05-23,BLL
2012-05-24,BLL
2012-05-25,BLL
2012-05-29,BLL
2012-05-30,BLL
2012-05-31,BLL
2012-06-01,BLL
2012-06-04,BLL
2012-06-05,BLL
2012-06-06,BLL
2012-06-07,BLL
2012-07-11,BLL
2012-07-23,BLL
2013-02-06,BLL
2013-02-07,BLL
2013-02-11,BLL
2013-02-12,BLL
2013-02-20,BLL
2013-02-25,BLL
2013-02-26,BLL
2013-02-28,BLL
2013-03-01,BLL
2013-03-04,BLL
2013-03-06,BLL
2013-03-07,BLL
2013-04-25,BLL
2013-04-26,BLL
2013-04-29,BLL
2013-04-30,BLL
2013-05-01,BLL
2013-05-02,BLL
2013-05-16,BLL
2013-05-23,BLL
2013-05-24,BLL
2013-05-28,BLL
2013-05-29,BLL
2013-06-19,BLL
2014-01-29,BLL
2014-03-07,BLL
2014-03-10,BLL
2014-03-11,BLL
2014-06-02,BLL
2014-06-12,BLL
2014-06-13,BLL
2014-06-16,BLL
2014-06-17,BLL
2014-06-18,BLL
2014-06-19,BLL
2014-06-23,BLL
2014-06-30,BLL
2014-07-02,BLL
2014-07-03,BLL
2014-07-07,BLL
2014-07-08,BLL
2014-07-11,BLL
2014-07-16,BLL
2014-07-17,BLL
2014-07-18,BLL
2014-07-21,BLL
2014-07-22,BLL
2014-07-23,BLL
2014-07-24,BLL
2014-07-25,BLL
2014-07-28,BLL
2014-07-29,BLL
2014-07-30,BLL
2014-07-31,BLL
2014-08-01,BLL
2014-10-01,BLL
2014-10-02,BLL
2014-10-10,BLL
2014-10-13,BLL
2014-12-09,BLL
2014-12-11,BLL
2014-12-23,BLL
2014-12-24,BLL
2014-12-26,BLL
2014-12-29,BLL
2014-12-30,BLL
2015-01-07,BLL
2015-01-08,BLL
2015-01-12,BLL
2015-01-16,BLL
2015-01-22,BLL
2015-01-26,BLL
2015-01-27,BLL
2015-01-28,BLL
2015-08-06,BLL
2015-08-07,BLL
2015-08-11,BLL
2015-08-12,BLL
2015-08-13,BLL
2015-08-19,BLL
2015-08-20,BLL
2016-02-23,BLL
2016-02-26,BLL
2016-03-07,BLL
2016-03-08,BLL
2016-03-09,BLL
2016-03-10,BLL
2016-03-15,BLL
2017-06-19,BLL
2017-06-22,BLL
2017-06-23,BLL
2017-06-26,BLL
2017-06-27,BLL
2017-06-28,BLL
2017-06-30,BLL
2017-07-03,BLL
2017-07-05,BLL
2017-07-06,BLL
2017-07-07,BLL
2017-07-10,BLL
2017-07-17,BLL
2017-07-18,BLL
2017-07-19,BLL
2017-07-20,BLL
2017-07-21,BLL
2017-07-24,BLL
2017-07-25,BLL
2017-07-26,BLL
2017-07-27,BLL
2017-08-24,BLL
2017-08-25,BLL
2017-08-28,BLL
2017-08-29,BLL
2017-08-30,BLL
2017-08-31,BLL
2017-09-05,BLL
2017-09-07,BLL
2017-09-11,BLL
2017-11-09,BLL
2017-11-10,BLL
2017-11-13,BLL
2017-11-14,BLL
2017-11-15,BLL
2017-11-20,BLL
2017-11-21,BLL
2017-11-22,BLL
2017-11-28,BLL
2017-11-29,BLL
2017-12-01,BLL
2017-12-04,BLL
2017-12-12,BLL
